Date,Open,High,Low,Close
9/01/2018 21:30,1.1945,1.19483,1.19443,1.19481
9/01/2018 21:35,1.19478,1.19489,1.1944,1.1944
9/01/2018 21:40,1.1944,1.1946,1.19438,1.19449
9/01/2018 21:45,1.19453,1.1947,1.19423,1.1947
9/01/2018 21:50,1.19471,1.19471,1.19454,1.19469
9/01/2018 21:55,1.19469,1.19486,1.19465,1.19482
9/01/2018 22:00,1.19479,1.19494,1.19472,1.19477
9/01/2018 22:05,1.19477,1.19489,1.19474,1.1948
9/01/2018 22:10,1.19479,1.1948,1.19471,1.19471
9/01/2018 22:15,1.19472,1.19479,1.19469,1.19474
9/01/2018 22:20,1.19474,1.19474,1.19459,1.19463
9/01/2018 22:25,1.19462,1.19475,1.19462,1.19465
9/01/2018 22:30,1.19464,1.19472,1.19458,1.19458
9/01/2018 22:35,1.1946,1.1946,1.19443,1.19444
9/01/2018 22:40,1.19443,1.19446,1.19433,1.19433
9/01/2018 22:45,1.19434,1.19436,1.19423,1.19427
9/01/2018 22:50,1.19428,1.19443,1.19422,1.19423
9/01/2018 22:55,1.19423,1.19432,1.19408,1.19416
9/01/2018 23:00,1.19418,1.19423,1.19409,1.19414
9/01/2018 23:05,1.19413,1.19427,1.19406,1.19427
9/01/2018 23:10,1.19427,1.19427,1.19394,1.19415
9/01/2018 23:15,1.19415,1.19419,1.19393,1.19394
9/01/2018 23:20,1.19395,1.19403,1.19393,1.19394
9/01/2018 23:25,1.19395,1.19404,1.1939,1.194
9/01/2018 23:30,1.19399,1.194,1.19395,1.19398
9/01/2018 23:35,1.19399,1.19403,1.1939,1.1939
9/01/2018 23:40,1.19389,1.19394,1.19382,1.19383
9/01/2018 23:45,1.19383,1.19387,1.19365,1.19369
9/01/2018 23:50,1.19369,1.19377,1.19359,1.19371
9/01/2018 23:55,1.19372,1.19374,1.19356,1.19361
10/01/2018 0:00,1.1936,1.19374,1.1936,1.19373
10/01/2018 0:05,1.19374,1.19384,1.19374,1.19379
10/01/2018 0:10,1.1938,1.19384,1.19353,1.19354
10/01/2018 0:15,1.19352,1.19391,1.19352,1.19376
10/01/2018 0:20,1.19376,1.19386,1.19375,1.19386
10/01/2018 0:25,1.19386,1.19406,1.19372,1.19399
10/01/2018 0:30,1.19399,1.19399,1.19361,1.19378
10/01/2018 0:35,1.19379,1.19415,1.19372,1.19372
10/01/2018 0:40,1.19371,1.19398,1.19355,1.19356
10/01/2018 0:45,1.19355,1.19355,1.19332,1.19333
10/01/2018 0:50,1.19332,1.19336,1.19293,1.19293
10/01/2018 0:55,1.19294,1.19312,1.19269,1.19279
10/01/2018 1:00,1.19278,1.1931,1.19276,1.19294
10/01/2018 1:05,1.19293,1.19331,1.19282,1.19325
10/01/2018 1:10,1.19324,1.19341,1.19304,1.19304
10/01/2018 1:15,1.19305,1.19305,1.1927,1.19283
10/01/2018 1:20,1.19284,1.19311,1.19284,1.19303
10/01/2018 1:25,1.19304,1.19311,1.19278,1.19289
10/01/2018 1:30,1.19288,1.1929,1.19258,1.19269
10/01/2018 1:35,1.1927,1.19289,1.19253,1.19253
10/01/2018 1:40,1.19252,1.19271,1.19236,1.19251
10/01/2018 1:45,1.19253,1.19271,1.19231,1.19269
10/01/2018 1:50,1.1927,1.19272,1.1925,1.19267
10/01/2018 1:55,1.19268,1.19295,1.19262,1.19289
10/01/2018 2:00,1.19288,1.19338,1.19275,1.19318
10/01/2018 2:05,1.19317,1.19325,1.1929,1.1931
10/01/2018 2:10,1.19312,1.19356,1.19301,1.19342
10/01/2018 2:15,1.19344,1.1935,1.19311,1.19337
10/01/2018 2:20,1.1934,1.1943,1.1934,1.19404
10/01/2018 2:25,1.19402,1.19419,1.19352,1.19356
10/01/2018 2:30,1.19357,1.19446,1.19356,1.19379
10/01/2018 2:35,1.19378,1.19396,1.19361,1.19388
10/01/2018 2:40,1.19388,1.19394,1.19349,1.19372
10/01/2018 2:45,1.1937,1.19395,1.19338,1.19353
10/01/2018 2:50,1.19353,1.19395,1.1935,1.19367
10/01/2018 2:55,1.1937,1.19394,1.19334,1.19347
10/01/2018 3:00,1.1935,1.1942,1.19343,1.19395
10/01/2018 3:05,1.19396,1.19433,1.19381,1.19428
10/01/2018 3:10,1.19427,1.19464,1.19424,1.19443
10/01/2018 3:15,1.19445,1.19483,1.1944,1.19471
10/01/2018 3:20,1.19471,1.19548,1.19459,1.19511
10/01/2018 3:25,1.1951,1.1953,1.195,1.19507
10/01/2018 3:30,1.19508,1.19547,1.19508,1.19531
10/01/2018 3:35,1.19531,1.19532,1.19495,1.195
10/01/2018 3:40,1.195,1.19523,1.19491,1.19507
10/01/2018 3:45,1.19507,1.1951,1.1948,1.19492
10/01/2018 3:50,1.19492,1.19498,1.19476,1.1949
10/01/2018 3:55,1.19487,1.19493,1.19449,1.19461
10/01/2018 4:00,1.19462,1.19493,1.19453,1.19454
10/01/2018 4:05,1.19455,1.19456,1.19421,1.19432
10/01/2018 4:10,1.1943,1.19476,1.19392,1.19473
10/01/2018 4:15,1.19471,1.19473,1.19426,1.19436
10/01/2018 4:20,1.19436,1.19464,1.19433,1.19459
10/01/2018 4:25,1.1946,1.1946,1.19444,1.19454
10/01/2018 4:30,1.19453,1.19468,1.19431,1.19431
10/01/2018 4:35,1.1943,1.19476,1.19423,1.19465
10/01/2018 4:40,1.19465,1.19479,1.19433,1.19438
10/01/2018 4:45,1.19438,1.19475,1.1941,1.19411
10/01/2018 4:50,1.19411,1.19431,1.19387,1.19396
10/01/2018 4:55,1.19399,1.19403,1.1938,1.19385
10/01/2018 5:00,1.19386,1.19393,1.1936,1.19371
10/01/2018 5:05,1.1937,1.19387,1.19355,1.19357
10/01/2018 5:10,1.1936,1.19387,1.19354,1.19376
10/01/2018 5:15,1.19378,1.19405,1.19376,1.19405
10/01/2018 5:20,1.19406,1.19435,1.19406,1.19433
10/01/2018 5:25,1.19436,1.19448,1.19315,1.19389
10/01/2018 5:30,1.19385,1.19488,1.19339,1.19481
10/01/2018 5:35,1.19482,1.19674,1.19479,1.19669
10/01/2018 5:40,1.19679,1.19911,1.19663,1.19871
10/01/2018 5:45,1.19873,1.19999,1.19835,1.19998
10/01/2018 5:50,1.19999,1.20003,1.19836,1.19836
10/01/2018 5:55,1.19837,1.19948,1.19837,1.19945
10/01/2018 6:00,1.19946,1.2011,1.19942,1.20055
10/01/2018 6:05,1.20056,1.20094,1.19963,1.19969
10/01/2018 6:10,1.1997,1.20011,1.19955,1.19973
10/01/2018 6:15,1.19972,1.19989,1.19894,1.199
10/01/2018 6:20,1.19899,1.19926,1.1987,1.19909
10/01/2018 6:25,1.19907,1.20022,1.19907,1.19962
10/01/2018 6:30,1.19962,1.19996,1.19927,1.19996
10/01/2018 6:35,1.19998,1.20071,1.19988,1.20065
10/01/2018 6:40,1.20065,1.20158,1.20008,1.20143
10/01/2018 6:45,1.20145,1.20161,1.20065,1.20065
10/01/2018 6:50,1.20064,1.20141,1.20063,1.20119
10/01/2018 6:55,1.20116,1.20116,1.20052,1.20055
10/01/2018 7:00,1.20055,1.20149,1.20055,1.20118
10/01/2018 7:05,1.20119,1.20177,1.2009,1.2009
